Puzzle Number,Algorithm,Heuristic,Solution Path Length,Search Path Length,Execution Time (s)
1,a*,h1,3,28,0.0055
1,a*,h2,3,28,0.0048
1,a*,h3,3,10,0.0019
1,a*,h4,3,57,0.0102
1,ucs,NA,3,57,0.0089
1,gbfs,h1,111,1569,5.9621
1,gbfs,h2,111,1569,6.2363
1,gbfs,h3,111,1569,6.4897
1,gbfs,h4,111,958,5.7279
2,a*,h1,14,6606,0.9205
2,a*,h2,14,6606,0.9096
2,a*,h3,14,3311,0.4762
2,a*,h4,14,17864,3.0812
2,ucs,NA,14,17864,1.7870
2,gbfs,h1,113,2314,11.6578
2,gbfs,h2,113,2314,10.6246
2,gbfs,h3,113,2314,12.5574
2,gbfs,h4,197,2297,16.5119
3,a*,h1,10,5884,0.7787
3,a*,h2,10,5884,0.7890
3,a*,h3,11,3161,0.4194
3,a*,h4,10,15791,2.6580
3,ucs,NA,10,15791,1.5532
3,gbfs,h1,112,2325,13.1864
3,gbfs,h2,112,2325,10.9581
3,gbfs,h3,112,2325,12.2941
3,gbfs,h4,212,2412,17.7924
4,a*,h1,10,3462,0.4648
4,a*,h2,10,3462,0.4865
4,a*,h3,11,1491,0.2057
4,a*,h4,10,9043,1.8224
4,ucs,NA,10,9043,1.0000
4,gbfs,h1,110,2174,11.9721
4,gbfs,h2,110,2174,10.6465
4,gbfs,h3,110,2174,13.5872
4,gbfs,h4,180,2344,19.1488
5,a*,h1,12,7612,1.3559
5,a*,h2,12,7612,1.2193
5,a*,h3,12,3724,0.6552
5,a*,h4,12,16461,2.8320
5,ucs,NA,12,16461,1.7392
5,gbfs,h1,103,1428,5.9110
5,gbfs,h2,103,1428,5.8783
5,gbfs,h3,103,1428,7.2941
5,gbfs,h4,175,1827,10.9168
6,a*,h1,14,2633,0.3679
6,a*,h2,14,2633,0.3864
6,a*,h3,14,1455,0.2827
6,a*,h4,14,7625,1.5039
6,ucs,NA,14,7625,0.7679
6,gbfs,h1,84,1114,4.1400
6,gbfs,h2,84,1114,4.2606
6,gbfs,h3,84,1114,4.6138
6,gbfs,h4,125,1177,7.3115
7,a*,h1,15,4437,0.6870
7,a*,h2,15,4437,0.6977
7,a*,h3,15,1455,0.2042
7,a*,h4,15,11615,2.1244
7,ucs,NA,15,11615,1.1595
7,gbfs,h1,82,851,4.2247
7,gbfs,h2,82,851,2.9900
7,gbfs,h3,82,851,3.4604
7,gbfs,h4,117,1106,5.8238
8,a*,h1,7,1048,0.1482
8,a*,h2,7,1048,0.1519
8,a*,h3,7,243,0.0364
8,a*,h4,7,4273,0.7038
8,ucs,NA,7,4273,0.4595
8,gbfs,h1,86,959,3.6881
8,gbfs,h2,86,959,3.2503
8,gbfs,h3,86,959,3.9386
8,gbfs,h4,90,766,3.4687
9,a*,h1,6,2802,0.3785
9,a*,h2,6,2802,0.3774
9,a*,h3,6,989,0.1233
9,a*,h4,6,8794,1.3472
9,ucs,NA,6,8794,0.7750
9,gbfs,h1,15,164,0.6936
9,gbfs,h2,15,164,0.6273
9,gbfs,h3,15,164,0.6570
9,gbfs,h4,54,491,2.9282
10,a*,h1,10,2928,0.4021
10,a*,h2,10,2928,0.3906
10,a*,h3,11,1749,0.2358
10,a*,h4,10,6124,1.0373
10,ucs,NA,10,6124,0.6181
10,gbfs,h1,100,1278,5.3413
10,gbfs,h2,100,1278,4.9847
10,gbfs,h3,100,1278,6.4537
10,gbfs,h4,121,1233,6.7041
11,a*,h1,10,5561,0.7234
11,a*,h2,10,5561,0.7117
11,a*,h3,11,4530,0.6166
11,a*,h4,10,11392,1.8739
11,ucs,NA,10,11392,1.0858
11,gbfs,h1,94,1335,5.4069
11,gbfs,h2,94,1335,4.8810
11,gbfs,h3,94,1335,5.9076
11,gbfs,h4,116,1223,6.3001
12,a*,h1,9,4523,0.5649
12,a*,h2,9,4523,0.5723
12,a*,h3,9,1855,0.2473
12,a*,h4,9,12913,2.1104
12,ucs,NA,9,12913,1.2357
12,gbfs,h1,118,1415,6.1715
12,gbfs,h2,118,1415,5.9890
12,gbfs,h3,118,1415,6.8216
12,gbfs,h4,189,2047,13.8160
13,a*,h1,8,1506,0.1974
13,a*,h2,8,1506,0.2134
13,a*,h3,8,666,0.0865
13,a*,h4,8,6080,1.0084
13,ucs,NA,8,6080,0.6035
13,gbfs,h1,110,1543,7.5418
13,gbfs,h2,110,1543,6.4308
13,gbfs,h3,110,1543,7.9289
13,gbfs,h4,165,1822,12.6880
14,a*,h1,12,12748,1.6121
14,a*,h2,12,12748,1.6387
14,a*,h3,13,1228,0.1663
14,a*,h4,12,57329,9.8955
14,ucs,NA,12,57329,5.9040
14,gbfs,h1,96,2110,8.9900
14,gbfs,h2,96,2110,8.4205
14,gbfs,h3,96,2110,10.3438
14,gbfs,h4,217,2431,17.4283
15,a*,h1,52,23458,4.0919
15,a*,h2,52,23458,4.0193
15,a*,h3,52,19388,3.1224
15,a*,h4,52,25228,5.3460
15,ucs,NA,52,25228,3.2413
15,gbfs,h1,89,1473,7.7124
15,gbfs,h2,89,1473,5.8649
15,gbfs,h3,89,1473,6.8701
15,gbfs,h4,122,1216,7.8149
16,a*,h1,12,6759,0.9322
16,a*,h2,12,6759,0.9285
16,a*,h3,12,3981,0.6117
16,a*,h4,12,15598,3.0061
16,ucs,NA,12,15598,1.7781
16,gbfs,h1,93,1339,6.9838
16,gbfs,h2,93,1339,5.4454
16,gbfs,h3,93,1339,6.2120
16,gbfs,h4,141,1308,7.5404
17,a*,h1,51,24437,4.0799
17,a*,h2,51,24437,4.2357
17,a*,h3,54,25444,4.2576
17,a*,h4,51,24941,5.2329
17,ucs,NA,51,24941,3.5508
17,gbfs,h1,139,2698,12.8556
17,gbfs,h2,139,2698,10.0930
17,gbfs,h3,139,2698,11.5888
17,gbfs,h4,141,1448,7.4272
18,a*,h1,10,3251,0.4336
18,a*,h2,10,3251,0.4396
18,a*,h3,11,1501,0.2080
18,a*,h4,10,9480,1.7013
18,ucs,NA,10,9480,0.9606
18,gbfs,h1,72,1139,5.0375
18,gbfs,h2,72,1139,4.1997
18,gbfs,h3,72,1139,5.1845
18,gbfs,h4,111,1076,5.4674
19,a*,h1,9,1915,0.2507
19,a*,h2,9,1915,0.2541
19,a*,h3,10,1312,0.1756
19,a*,h4,9,6032,1.0180
19,ucs,NA,9,6032,0.5939
19,gbfs,h1,96,1099,4.5129
19,gbfs,h2,96,1099,4.0003
19,gbfs,h3,96,1099,4.9242
19,gbfs,h4,124,1229,8.3077
20,a*,h1,9,1120,0.1740
20,a*,h2,9,1120,0.1682
20,a*,h3,10,583,0.0799
20,a*,h4,9,3516,0.6173
20,ucs,NA,9,3516,0.4527
20,gbfs,h1,78,1127,5.0565
20,gbfs,h2,78,1127,4.3105
20,gbfs,h3,78,1127,5.0587
20,gbfs,h4,125,1266,7.4790
21,a*,h1,10,1864,0.2676
21,a*,h2,10,1864,0.2722
21,a*,h3,11,695,0.0983
21,a*,h4,10,5435,1.0414
21,ucs,NA,10,5435,0.5715
21,gbfs,h1,65,986,4.6287
21,gbfs,h2,65,986,3.7950
21,gbfs,h3,65,986,4.2135
21,gbfs,h4,115,1114,6.5388
22,a*,h1,20,13883,2.0530
22,a*,h2,20,13883,2.0156
22,a*,h3,20,6869,0.9898
22,a*,h4,20,21816,3.9893
22,ucs,NA,20,21816,2.6215
22,gbfs,h1,64,533,1.8939
22,gbfs,h2,64,533,1.7005
22,gbfs,h3,64,533,1.9967
22,gbfs,h4,78,621,3.0504
23,a*,h1,7,1041,0.1363
23,a*,h2,7,1041,0.1361
23,a*,h3,7,202,0.0279
23,a*,h4,7,3289,0.5470
23,ucs,NA,7,3289,0.3381
23,gbfs,h1,67,536,1.7513
23,gbfs,h2,67,536,1.6516
23,gbfs,h3,67,536,2.1762
23,gbfs,h4,69,501,2.1603
24,a*,h1,50,120501,18.8177
24,a*,h2,50,120501,18.7857
24,a*,h3,56,118641,19.0379
24,a*,h4,50,146600,29.4546
24,ucs,NA,50,146600,16.9584
24,gbfs,h1,163,6871,48.1303
24,gbfs,h2,163,6871,42.4674
24,gbfs,h3,163,6871,47.0028
24,gbfs,h4,314,3813,36.8006
25,a*,h1,50,21605,3.5848
25,a*,h2,50,21605,3.4730
25,a*,h3,51,13060,2.1853
